,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,amenities,price,minimum_nights,number_of_reviews,review_score,room_type,bathroom,geometry,index_right,neighbourhood,"Rate per 100,000 population",area,nearby_attractions_count,nearby_restaurants_count,nearby_amenities_count,nearby_transportaion_count,buildings_density,restaurant_types_score,transportaion_avalibility_score,price_bins
8017,1,1,-37.90541,145.14367,2,1.0,1.0,,147.0,28,1,4.83097430921868,0,2,POINT (145.14367 -37.90541),6,monash,5139.3,0.008346862150499994,59,18,0,4,304,0.4,0.16666666666666666,2
8020,1,1,-37.9037,145.14329,4,2.0,2.0,,173.0,28,1,4.080713709097504,0,2,POINT (145.14329 -37.9037),6,monash,5139.3,0.008346862150499994,59,17,0,7,353,0.4,0.16666666666666666,3
8021,1,1,-37.90528,145.14202,4,2.0,2.0,,183.0,28,0,0.0,0,8,POINT (145.14202 -37.90528),6,monash,5139.3,0.008346862150499994,60,22,0,6,320,0.5,0.16666666666666666,3
8127,1,0,-37.92006,145.12711,8,4.0,5.0,,535.0,14,5,4.884486111080436,0,12,POINT (145.12711 -37.92006),6,monash,5139.3,0.008346862150499994,66,56,1,0,1355,0.7,0.0,10
8177,1,1,-37.92016,145.12732,8,4.0,5.0,,1000.0,14,0,0.0,0,12,POINT (145.12732 -37.92016),6,monash,5139.3,0.008346862150499994,66,56,1,0,1351,0.7,0.0,10
8215,1,1,-37.88084,145.12282,6,2.0,4.0,,126.0,2,25,4.744607879749449,0,2,POINT (145.12282 -37.88084),6,monash,5139.3,0.008346862150499994,62,14,1,0,990,0.6,0.0,2
8280,1,1,-37.92035,145.13909,5,2.0,3.0,,200.0,3,20,4.915649900304268,0,8,POINT (145.13909 -37.92035),6,monash,5139.3,0.008346862150499994,60,25,1,5,498,0.5,0.16666666666666666,3
8311,1,1,-37.89481,145.16355,4,2.0,2.0,,189.0,1,99,4.902523515795046,0,12,POINT (145.16355 -37.89481),6,monash,5139.3,0.008346862150499994,51,8,1,5,118,0.2,0.16666666666666666,3
8345,1,0,-37.91054,145.12622,8,4.0,5.0,,591.0,14,0,0.0,0,8,POINT (145.12622 -37.91054),6,monash,5139.3,0.008346862150499994,62,44,1,0,440,0.5,0.0,10
8349,1,0,-37.92086,145.12665,12,6.0,8.0,,864.0,14,0,0.0,0,20,POINT (145.12665 -37.92086),6,monash,5139.3,0.008346862150499994,66,66,2,0,1466,0.7,0.0,10
8396,1,1,-37.91246,145.12535,1,1.0,1.0,,46.0,3,10,4.515740682477994,2,2,POINT (145.12535 -37.91246),6,monash,5139.3,0.008346862150499994,62,42,1,5,550,0.5,0.16666666666666666,0
8445,1,1,-37.92098236083984,145.13980102539062,11,2.0,3.0,,249.0,3,16,4.793967893064484,0,8,POINT (145.1398010253906 -37.92098236083984),6,monash,5139.3,0.008346862150499994,60,20,0,4,478,0.5,0.16666666666666666,4
8481,1,1,-37.91071,145.12773,2,1.0,1.0,,62.0,1,14,4.807533526694163,2,11,POINT (145.12773 -37.91071),6,monash,5139.3,0.008346862150499994,60,44,1,0,484,0.5,0.0,1
8485,1,1,-37.87905,145.1736,7,4.0,4.0,,359.0,2,7,4.644582714610116,0,14,POINT (145.1736 -37.87905),6,monash,5139.3,0.008346862150499994,33,51,0,0,113,0.7,0.0,7
8488,1,1,-37.910469,145.127258,2,1.0,1.0,,59.0,1,39,4.895586804627589,2,11,POINT (145.127258 -37.910469),6,monash,5139.3,0.008346862150499994,61,44,1,0,463,0.5,0.0,1
8496,1,1,-37.91154,145.12693,2,1.0,1.0,,70.0,1,10,4.948900238201533,2,11,POINT (145.12693 -37.91154),6,monash,5139.3,0.008346862150499994,60,45,0,3,518,0.5,0.16666666666666666,1
8499,1,1,-37.92098236083984,145.13980102539062,2,1.0,1.0,,201.0,4,11,4.905458430833516,0,2,POINT (145.1398010253906 -37.92098236083984),6,monash,5139.3,0.008346862150499994,60,20,0,4,478,0.5,0.16666666666666666,4
8503,1,1,-37.91071,145.12604,1,1.0,1.0,,60.0,1,21,4.889916250398137,2,9,POINT (145.12604 -37.91071),6,monash,5139.3,0.008346862150499994,62,43,1,1,449,0.5,0.16666666666666666,1
8505,1,1,-37.91906,145.13146,2,1.0,1.0,,47.0,2,37,4.926651976434885,2,4,POINT (145.13146 -37.91906),6,monash,5139.3,0.008346862150499994,65,41,2,3,988,0.5,0.16666666666666666,0
8544,1,1,-37.88308,145.11666,6,3.0,4.0,,168.0,3,30,4.6902946596861135,0,2,POINT (145.11666 -37.88308),6,monash,5139.3,0.008346862150499994,61,5,12,4,1250,0.4,0.16666666666666666,3
8560,1,1,-37.90838,145.20269,2,2.0,2.0,,70.0,1,12,4.7324419553814,2,11,POINT (145.20269 -37.90838),6,monash,5139.3,0.008346862150499994,14,0,2,2,15,0.0,0.16666666666666666,1
8699,1,0,-37.91602,145.11373,8,4.0,5.0,,599.0,6,2,3.900950170163164,0,8,POINT (145.11373 -37.91602),6,monash,5139.3,0.008346862150499994,64,7,1,0,372,0.3,0.0,10
8772,1,1,-37.87776,145.14085,2,1.0,1.0,,79.0,2,13,4.9561203619435625,2,4,POINT (145.14085 -37.87776),6,monash,5139.3,0.008346862150499994,51,21,1,0,257,0.5,0.0,1
8840,1,1,-37.9209828,145.1398082,4,2.0,2.0,,244.0,2,7,4.999999999999999,0,8,POINT (145.1398082 -37.9209828),6,monash,5139.3,0.008346862150499994,60,20,0,4,478,0.5,0.16666666666666666,4
8881,1,0,-37.92102,145.12999,6,3.0,4.0,,399.0,6,4,4.252194033290966,0,8,POINT (145.12999 -37.92102),6,monash,5139.3,0.008346862150499994,65,32,0,0,1239,0.6,0.0,7
8897,1,0,-37.87068033495549,145.1657300232788,7,3.0,6.0,,217.0,2,24,4.652700033491268,0,8,POINT (145.1657300232788 -37.87068033495549),6,monash,5139.3,0.008346862150499994,33,41,1,2,136,0.7,0.16666666666666666,4
8910,1,1,-37.90909,145.20269,2,2.0,2.0,,70.0,2,16,4.895086583407975,2,10,POINT (145.20269 -37.90909),6,monash,5139.3,0.008346862150499994,14,0,2,2,9,0.0,0.16666666666666666,1
9053,1,0,-37.91998,145.12951,8,4.0,5.0,,497.0,6,3,4.347804465638149,0,12,POINT (145.12951 -37.91998),6,monash,5139.3,0.008346862150499994,65,41,0,0,1168,0.7,0.0,9
9083,1,0,-37.9213,145.13081,8,4.0,5.0,,498.0,6,2,3.2762641656620453,0,12,POINT (145.13081 -37.9213),6,monash,5139.3,0.008346862150499994,65,30,0,0,1204,0.5,0.0,9
9094,1,1,-37.86626891872535,145.12666907161474,6,3.0,4.0,,350.0,5,16,4.91826189293687,0,10,POINT (145.1266690716147 -37.86626891872535),6,monash,5139.3,0.008346862150499994,65,6,2,0,130,0.4,0.0,6
9156,1,1,-37.90446721602039,145.14683660119772,2,1.0,1.0,,104.0,1,8,4.909188792323574,2,4,POINT (145.1468366011977 -37.90446721602039),6,monash,5139.3,0.008346862150499994,59,16,0,0,346,0.4,0.0,2
9210,1,1,-37.91565,145.12333,2,1.0,1.0,,70.0,1,18,4.313582136574585,2,4,POINT (145.12333 -37.91565),6,monash,5139.3,0.008346862150499994,61,36,2,6,789,0.7,0.16666666666666666,1
9247,1,1,-37.88547,145.12609,4,2.0,2.0,,112.0,2,12,4.602490307945232,0,8,POINT (145.12609 -37.88547),6,monash,5139.3,0.008346862150499994,59,14,8,6,863,0.6,0.16666666666666666,2
9400,1,1,-37.89183,145.1378,8,4.0,4.0,,276.0,2,34,4.959740842183899,0,10,POINT (145.1378 -37.89183),6,monash,5139.3,0.008346862150499994,56,33,0,0,263,0.7,0.0,5
9405,1,1,-37.90143,145.10745,8,4.0,5.0,,267.0,2,23,4.748725248893634,0,10,POINT (145.10745 -37.90143),6,monash,5139.3,0.008346862150499994,62,29,6,1,104,0.6,0.16666666666666666,5
9438,1,1,-37.878430330974574,145.1645277813077,4,2.0,2.0,,350.0,1,2,4.797688395912104,0,8,POINT (145.1645277813077 -37.87843033097457),6,monash,5139.3,0.008346862150499994,50,79,20,17,259,0.8,0.6666666666666666,6
9450,1,1,-37.8794129,145.187456,8,4.0,4.0,,384.0,2,46,4.597283876370822,0,8,POINT (145.187456 -37.8794129),6,monash,5139.3,0.008346862150499994,25,0,0,0,30,0.0,0.0,7
9491,1,1,-37.9155,145.12295,1,1.0,1.0,,50.0,1,6,4.803429857340454,2,4,POINT (145.12295 -37.9155),6,monash,5139.3,0.008346862150499994,61,33,2,6,772,0.7,0.16666666666666666,0
9507,1,1,-37.86107,145.14865,1,1.0,1.0,,75.0,3,0,0.0,2,3,POINT (145.14865 -37.86107),6,monash,5139.3,0.008346862150499994,29,15,3,1,45,0.5,0.16666666666666666,1
9520,1,1,-37.91978,145.14081,2,1.0,1.0,,175.0,4,12,4.862106685560779,0,2,POINT (145.14081 -37.91978),6,monash,5139.3,0.008346862150499994,60,23,0,4,449,0.5,0.16666666666666666,3
9564,1,1,-37.91114,145.11619,6,3.0,3.0,,203.0,1,33,4.585506926798262,0,8,POINT (145.11619 -37.91114),6,monash,5139.3,0.008346862150499994,64,11,0,2,144,0.5,0.16666666666666666,4
9568,1,1,-37.87784,145.1656,2,1.0,1.0,,210.0,7,0,0.0,0,8,POINT (145.1656 -37.87784),6,monash,5139.3,0.008346862150499994,50,76,16,3,237,0.8,0.16666666666666666,4
9618,1,1,-37.88912,145.1645,6,3.0,4.0,,206.0,2,23,4.687724653737663,0,5,POINT (145.1645 -37.88912),6,monash,5139.3,0.008346862150499994,51,52,5,6,231,0.5,0.16666666666666666,4
9678,1,1,-37.87809,145.17045,2,1.0,1.0,,117.0,2,16,4.907188582353933,0,2,POINT (145.17045 -37.87809),6,monash,5139.3,0.008346862150499994,40,81,0,0,173,0.8,0.0,2
9751,1,1,-37.89392,145.14501,2,0.0,1.0,,139.0,1,2,3.0,2,3,POINT (145.14501 -37.89392),6,monash,5139.3,0.008346862150499994,53,35,1,3,329,0.7,0.16666666666666666,2
9752,1,1,-37.89404,145.14354,3,0.0,2.0,,169.0,1,1,3.0341846373141754,2,3,POINT (145.14354 -37.89404),6,monash,5139.3,0.008346862150499994,53,37,0,2,344,0.7,0.16666666666666666,3
9913,1,1,-37.91678,145.12248,1,1.0,1.0,,31.0,1,9,4.646428437508109,2,4,POINT (145.12248 -37.91678),6,monash,5139.3,0.008346862150499994,65,45,1,6,1008,0.7,0.16666666666666666,0
